day_datetime,USA GDP QOQ,CAN GDP QOQ,USA Fed Funds Q,Canada Overnight Rate,USA 3-mo Bond Yield,Canada Output Gap,USA Nominal Output Gap,Canada CPI,USA CPI,Canada Housing Price Index,USA Housing Price index
1961-06-30,7,7.661,1.73,6.75,2.27,3.7,-2.814,15.7,15.7,29.84,38.2
1961-09-30,7.9,12.059,1.88,6.75,2.28,3.7,-1.953,15.7,15.7,29.98,38.2
1961-12-31,8.1,0.824,2.33,6.75,2.73,3.7,-1.021,15.7,15.7,30.01,38.2
1962-03-31,7.3,7.889,2.85,6.75,2.74,3.7,-0.281,15.7,15.7,30.17,38.2
1962-06-30,3.7,3.25,2.68,6.75,2.86,3.7,-0.43,15.9,15.9,30.21,38.2
1962-09-30,5,1.269,2.9,6.75,2.72,3.7,-0.254,15.9,15.9,30.42,38.2
1962-12-31,1.3,5.267,2.93,6.75,2.92,3.7,-0.995,16,16,30.38,38.2
1963-03-31,4.4,2.149,2.98,6.75,2.9,3.7,-0.976,16,16,30.51,38.2
1963-06-30,4.6,6.372,2.99,6.75,3.27,3.7,-0.942,16,16,30.61,38.2
1963-09-30,9.1,4.343,3.48,6.75,3.37,3.7,0.155,16.2,16.2,30.72,38.2
1963-12-31,2.6,8.719,3.38,6.75,3.51,3.7,-0.291,16.3,16.3,30.88,38.2
1964-03-31,8.7,12.109,3.43,6.75,3.51,3.7,0.709,16.3,16.3,30.94,38.2
1964-06-30,4.4,0.708,3.5,6.75,3.47,3.7,0.683,16.4,16.4,31.01,38.2
1964-09-30,6.4,5.653,3.45,6.75,3.55,3.7,1.145,16.5,16.5,31.08,38.2
1964-12-31,1.2,9.598,3.85,6.75,3.82,3.7,0.351,16.6,16.6,31.25,38.2
1965-03-31,10,3.331,4.04,6.75,3.93,3.7,1.638,16.6,16.6,31.31,38.2
1965-06-30,5.1,7.297,4.04,6.75,3.81,3.7,1.811,16.9,16.9,31.61,38.2
1965-09-30,9.2,9.67,4.01,6.75,4.02,3.7,2.927,16.9,16.9,31.62,38.2
1965-12-31,9.5,9.74,4.32,6.75,4.49,3.7,4.122,17.1,17.1,31.85,38.2
1966-03-31,10.1,6.106,4.65,6.75,4.52,3.7,5.477,17.3,17.3,32.18,38.2
1966-06-30,1.4,6.086,5.17,6.75,4.58,3.7,4.647,17.5,17.5,32.38,38.2
1966-09-30,3.4,4.99,5.4,6.75,5.34,3.7,4.356,17.6,17.6,32.75,38.2
1966-12-31,3.3,3.433,5.4,6.75,4.51,3.7,4.043,17.7,17.7,32.92,38.2
1967-03-31,3.6,2.275,4.53,6.75,4.01,3.7,3.791,17.8,17.8,33,38.2
1967-06-30,0.2,7.101,3.98,6.75,4,3.7,2.705,18.1,18.1,33.3,38.2
1967-09-30,3.8,-1.078,3.99,6.75,4.56,3.7,2.535,18.3,18.3,33.6,38.2
1967-12-31,3,3.676,4.51,6.75,4.88,3.7,2.153,18.4,18.4,34,38.2
1968-03-31,8.4,4.835,5.05,6.75,5.51,3.7,3.061,18.6,18.6,34.3,38.2
1968-06-30,6.9,2.838,6.07,6.75,5.17,3.7,3.624,18.7,18.7,34.7,38.2
1968-09-30,3.1,6.34,5.78,6.75,5.16,3.7,3.251,19,19,35.1,38.2
1968-12-31,1.6,6.617,6.02,6.75,6.25,3.7,2.486,19.2,19.2,35.6,38.2
1969-03-31,6.4,5.735,6.79,6.75,5.99,3.7,2.969,19.3,19.3,36.1,38.2
1969-06-30,1.2,2.381,8.9,6.75,6.29,3.7,2.235,19.7,19.7,36.6,38.2
1969-09-30,2.7,2.964,9.15,6.75,7.14,3.7,1.928,19.9,19.9,37.1,38.2
1969-12-31,-1.9,4.88,8.97,6.75,8.01,3.7,0.53,20.1,20.1,37.7,38.2
1970-03-31,-0.6,1.047,7.76,6.75,6.38,3.7,-0.472,20.2,20.2,38.3,38.2
1970-06-30,0.6,1.42,7.6,6.75,6.49,3.7,-1.127,20.3,20.3,38.8,38.2
1970-09-30,3.7,4.713,6.29,6.75,5.84,3.7,-0.974,20.4,20.4,39.2,38.2
1970-12-31,-4.2,5.353,4.9,6.75,4.85,3.7,-2.748,20.3,20.3,39.8,38.2
1971-03-31,11.3,-2.41,3.71,6.75,3.64,3.7,-0.835,20.5,20.5,40,38.2
1971-06-30,2.2,14.721,4.91,6.75,5.22,3.7,-1.026,20.8,20.8,40.5,38.2
1971-09-30,3.3,9.102,5.55,6.75,4.6,3.7,-0.947,21.1,21.1,40.8,38.2
1971-12-31,0.9,7.293,4.14,6.75,3.68,3.7,-1.45,21.3,21.3,41.1,38.2
1972-03-31,7.6,-0.33,3.83,6.75,3.83,3.7,-0.39,21.6,21.6,41.4,38.2
1972-06-30,9.4,8.088,4.46,6.75,4.06,3.7,1.097,21.7,21.7,41.7,38.2
1972-09-30,3.8,3.049,4.87,6.75,4.76,3.7,1.275,22.3,22.3,42.1,38.2
1972-12-31,6.9,5.619,5.33,6.75,5.68,3.7,2.184,22.4,22.4,42.5,38.2
1973-03-31,10.3,10.515,7.09,6.75,6.23,3.7,3.888,22.8,22.8,43.4,38.2
1973-06-30,4.4,4.492,8.49,6.75,8.32,3.7,4.147,23.4,23.4,44.2,38.2
1973-09-30,-2.1,3.869,10.78,6.75,7.36,3.7,2.734,24.1,24.1,45.2,38.2
1973-12-31,3.8,10.51,9.95,6.75,7.46,3.7,2.818,24.5,24.5,46.3,38.2
1974-03-31,-3.4,8.894,9.35,6.75,8.9,3.7,1.05,25.2,25.2,47.8,38.2
1974-06-30,1,0.183,11.93,6.75,7.67,3.7,0.405,26.1,26.1,49,38.2
1974-09-30,-3.7,2.05,11.34,6.75,6.12,3.7,-1.391,26.8,26.8,50.6,38.2
1974-12-31,-1.5,-1.839,8.53,6.75,7.06,3.7,-2.604,27.6,27.6,51.9,38.2
1975-03-31,-4.8,6.123,5.54,6.75,5.53,3.7,-4.571,28,28,52.8,38.2
1975-06-30,2.9,8.41,5.55,6.75,5.86,3.7,-4.656,28.8,28.8,53.5,38.2
1975-09-30,7,9.035,6.24,6.75,6.58,3.7,-3.777,29.6,29.6,54.6,38.2
1975-12-31,5.5,5.308,5.2,6.75,5.2,3.7,-3.235,30.2,30.2,55.6,38.2
1976-03-31,9.3,0.412,4.84,6.75,4.97,3.7,-1.822,30.6,30.6,56,38.2
1976-06-30,3,10.053,5.48,6.75,5.37,3.7,-1.865,31.1,31.1,56.7,38.2
1976-09-30,2.2,-2.082,5.25,6.75,5.06,3.7,-2.111,31.5,31.5,57.6,38.2
1976-12-31,2.9,5.91,4.65,6.75,4.34,3.7,-2.188,31.9,31.9,58.4,38.2
1977-03-31,4.8,2.082,4.69,6.75,4.54,3.7,-1.837,32.8,32.8,59.6,38.2
1977-06-30,8,2.015,5.39,6.75,4.98,3.7,-0.76,33.5,33.5,60.5,38.2
1977-09-30,7.4,3.641,6.14,6.75,5.89,3.7,0.186,34.2,34.2,61.3,38.2
1977-12-31,0,2.037,6.56,6.75,6.42,3.7,-0.663,34.9,34.9,62.3,38.2
1978-03-31,1.3,0.98,6.79,6.75,6.47,3.7,-1.207,35.7,35.7,63.4,38.2
1978-06-30,16.4,4.304,7.6,6.75,7.01,3.7,1.72,36.6,36.6,65,38.2
1978-09-30,4.1,1.267,8.45,6.75,8.75,3.7,1.827,37.1,37.1,66.5,38.2
1978-12-31,5.5,1.853,10.03,6.75,9.29,3.7,2.277,37.9,37.9,67.9,38.2
1979-03-31,0.7,4.011,10.09,6.75,9.56,3.7,1.525,39,39,69.9,38.2
1979-06-30,0.4,2.376,10.29,6.75,9.18,3.7,0.767,39.9,39.9,72.2,38.2
1979-09-30,3,4.669,11.43,6.75,12.12,3.7,0.72,40.7,40.7,74.4,38.2
1979-12-31,1,1.682,13.78,6.75,12.04,3.7,0.266,41.6,41.6,76.9,38.2
1980-03-31,1.3,3.185,17.19,6.75,14.24,3.7,-0.029,42.6,42.6,80.1,38.2
1980-06-30,-8,-2.123,9.47,6.75,7.88,3.7,-2.591,43.9,43.9,82.5,38.2
1980-09-30,-0.5,8.593,10.87,6.75,11.44,3.7,-3.107,45,45,83.9,38.2
1980-12-31,7.7,3.847,18.9,6.75,14.3,3.7,-1.749,46.2,46.2,86.4,38.2
1981-03-31,8.1,5.966,14.7,6.75,12.46,3.7,-0.357,48,48,88.6,39.3
1981-06-30,-2.9,4.57,19.1,6.75,14.28,3.9,-1.684,49.5,49.5,90.5,40.8
1981-09-30,4.9,-3.534,15.87,6.75,14.34,2,-1.157,50.7,50.7,93.1,40.4
1981-12-31,-4.3,-1.825,12.37,6.75,11.08,0.6,-2.92,51.8,51.8,94.1,40.3
1982-03-31,-6.1,-4.62,14.68,6.75,13.26,-1.4,-5.138,53.5,53.5,94.7,40.1
1982-06-30,1.8,-4.552,14.15,6.75,12.76,-3.3,-5.444,55.1,55.1,97,39.3
1982-09-30,-1.5,-3.453,10.31,6.75,7.62,-4.8,-6.556,55.9,55.9,97.7,38.4
1982-12-31,0.2,-3.648,8.95,6.75,7.92,-6.3,-7.287,56.6,56.6,97.7,37.9
1983-03-31,5.4,6.866,8.77,6.75,8.64,-5.4,-6.827,57.4,57.4,98.1,37.8
1983-06-30,9.4,8.105,8.98,6.75,8.982,-4.1,-5.491,58.1,58.1,99.4,37.8
1983-09-30,8.2,4.543,9.45,6.75,9.022,-3.6,-4.413,58.7,58.7,100.4,38
1983-12-31,8.6,5.128,9.47,6.75,9.209,-3,-3.262,59.2,59.2,101.4,37.9
1984-03-31,8.1,7.068,9.91,6.75,10.063,-1.9,-2.249,60,60,102.9,38.1
1984-06-30,7.1,8.053,11.06,6.75,10.819,-0.6,-1.465,60.6,60.6,103.7,38.1
1984-09-30,3.9,1.691,11.3,6.75,9.345,-0.8,-1.437,60.9,60.9,104.7,37.9
1984-12-31,3.3,6.487,8.38,6.75,8.109,0.1,-1.554,61.4,61.4,105.5,37.9
1985-03-31,3.9,6.224,8.58,6.75,8.118,1,-1.524,62.2,62.2,106.8,38.1
1985-06-30,3.6,1.282,7.53,6.75,7.484,0.7,-1.577,63,63,107.5,38.3
1985-09-30,6.2,5.165,7.92,6.75,7.276,1.3,-0.992,63.4,63.4,108.1,38.8
1985-12-31,3,6.278,8.27,6.75,7.243,2.3,-1.159,64.1,64.1,109.5,39.3
1986-03-31,3.8,-0.119,7.48,6.75,6.51,1.7,-1.125,64.9,64.9,109.1,40.6
1986-06-30,1.8,2.293,6.92,6.75,6.154,1.7,-1.552,65.4,65.4,109.4,41.3
1986-09-30,3.9,0.507,5.89,6.75,5.319,1.2,-1.478,66,66,110,42.8
1986-12-31,2.2,-2.863,6.91,6.75,5.807,-0.1,-1.801,66.8,66.8,110.8,44
1987-03-31,3,9.554,6.13,6.75,5.923,1.6,-1.912,67.5,67.5,112.2,46.6
1987-06-30,4.4,5.266,6.73,6.75,5.869,2.3,-1.682,68.5,68.5,113.5,47.7
1987-09-30,3.5,6.219,7.22,6.75,6.786,3.3,-1.648,69,69,114.7,48.7
1987-12-31,7,5.273,6.77,6.75,5.849,3.9,-0.776,69.6,69.6,115.6,49.1
1988-03-31,2.1,5.953,6.58,6.75,5.854,4.8,-1.068,70.4,70.4,116.5,50.3
1988-06-30,5.4,3.582,7.51,6.75,6.757,5,-0.568,71.2,71.2,118,52.3
1988-09-30,2.4,0.036,8.19,6.75,7.522,4.3,-0.774,71.8,71.8,119.5,53.9
1988-12-31,5.4,2.816,8.76,6.75,8.655,4.3,-0.24,72.3,72.3,120.7,55.8
1989-03-31,4.1,4.642,9.85,6.75,9.184,4.8,-0.007,73.6,73.6,122.2,58.6
1989-06-30,3.1,1.538,9.53,6.75,8.234,4.5,-0.016,74.9,74.9,124.1,59.6
1989-09-30,3,1.44,9.02,6.75,8.032,4.3,-0.039,75.6,75.6,124.8,60.1
1989-12-31,0.8,-0.853,8.45,6.75,8.009,3.5,-0.584,76.1,76.1,126.3,61.1
1990-03-31,4.4,3.829,8.28,6.75,8.032,3.9,-0.22,77.5,77.5,128.6,61.9
1990-06-30,1.5,-1.646,8.29,6.75,7.726,2.9,-0.557,78.2,78.2,129.9,60.8
1990-09-30,0.3,-2.798,8.2,6.75,7.335,1.7,-1.16,78.8,78.8,132.5,59
1990-12-31,-3.6,-3.518,7.31,6.75,6.635,0.3,-2.692,79.9,79.9,134.2,57.8
1991-03-31,-1.9,-5.589,6.12,6.75,5.687,-1.6,-3.753,82.3,82.3,134.8,56
1991-06-30,3.2,1.872,5.9,6.75,5.676,-1.6,-3.589,83.1,83.1,136,56.2
1991-09-30,2,0.533,5.45,6.75,5.254,-1.9,-3.674,83.1,83.1,137,56.2
1991-12-31,1.4,0.74,4.43,6.75,3.958,-2.2,-3.905,82.9,82.9,138.2,55.9
1992-03-31,4.9,0.292,3.98,6.75,4.144,-2.5,-3.326,83.6,83.6,139.1,55.9
1992-06-30,4.4,0.492,3.76,6.75,3.648,-2.8,-2.857,84,84,140.1,56.2
1992-09-30,4,2.173,3.22,6.75,2.741,-2.8,-2.486,84.2,84.2,141.1,56.2
1992-12-31,4.2,2.298,2.92,6.75,3.141,-2.6,-2.068,84.7,84.7,142.3,56.3
1993-03-31,0.7,2.585,3.07,4.63,2.957,-2.4,-2.507,85.2,85.2,143.3,56.7
1993-06-30,2.3,3.688,3.04,4.25,3.08,-2,-2.553,85.4,85.4,144.3,56.9
1993-09-30,1.9,3.868,3.09,4.25,2.977,-1.6,-2.704,85.7,85.7,145,57.1
1993-12-31,5.6,1.741,2.96,4,3.059,-1.7,-2.007,86.1,86.1,146.3,56.9
1994-03-31,3.9,6.028,3.34,4.25,3.553,-0.9,-1.686,85.4,85.4,147.1,56.9
1994-06-30,5.5,5.974,4.25,5.69,4.215,0,-0.988,85.4,85.4,147.9,57
1994-09-30,2.4,5.216,4.73,5,4.773,0.6,-1.051,85.9,85.9,149.3,57
1994-12-31,4.7,2.948,5.45,7.25,5.995,0.6,-0.566,86.3,86.3,150.1,56.8
1995-03-31,1.4,3.768,5.98,8.063,5.87,0.8,-0.86,87.2,87.2,151.2,56.6
1995-06-30,1.2,0.161,6,7.19,5.568,0.1,-1.213,87.7,87.7,152.4,56.3
1995-09-30,3.5,0.529,5.8,6.19,5.509,-0.5,-1.024,87.8,87.8,153.1,56.2
1995-12-31,2.7,1.651,5.6,5.56,5.049,-0.9,-1.015,87.8,87.8,153.9,55.7
1996-03-31,3,0.268,5.31,4.75,5.154,-1.6,-0.945,88.5,88.5,155.5,55.3
1996-06-30,6.8,2.813,5.27,4.5,5.306,-1.8,-0.013,89,89,156.7,55.1
1996-09-30,3.6,3.504,5.3,4,5.032,-1.8,0.11,89.1,89.1,157.7,55
1996-12-31,4.2,3.256,5.29,3,5.171,-1.9,0.324,89.7,89.7,159.1,55.2
1997-03-31,2.6,5.392,5.39,3,5.322,-1.5,0.103,90.2,90.2,159.8,55.5
1997-06-30,6.8,4.605,5.56,3.25,5.167,-1.3,0.854,90.5,90.5,160.2,55.6
1997-09-30,5.1,4.814,5.54,3.25,5.1,-1.1,1.16,90.6,90.6,161.2,55.6
1997-12-31,3.5,3.928,5.5,4.25,5.347,-1.2,1.046,90.4,90.4,161.8,55.9
1998-03-31,4.1,5.769,5.49,4.75,5.12,-0.8,1.049,91.1,91.1,162,56
1998-06-30,3.8,0.221,5.56,4.75,5.078,-1.7,0.958,91.4,91.4,162.8,56.2
1998-09-30,5.1,3.694,5.51,5.5,4.361,-1.8,1.183,91.2,91.2,163.5,56.2
1998-12-31,6.6,5.56,4.68,5,4.452,-1.4,1.764,91.3,91.3,164.4,56.3
1999-03-31,3.8,7.455,4.81,4.75,4.475,-0.6,1.663,92,92,164.8,56.4
1999-06-30,3.1,3.391,4.76,4.5,4.779,-0.7,1.381,92.9,92.9,166,56.4
1999-09-30,5.3,6.405,5.22,4.5,4.851,-0.1,1.636,93.6,93.6,167.8,56.8
1999-12-31,7,5.748,5.3,4.75,5.328,0.4,2.276,93.7,93.7,168.8,57.2
2000-03-31,1.5,6.56,5.85,5.25,5.871,1.1,1.565,94.8,94.8,171,57.5
2000-06-30,7.5,4.84,6.53,5.75,5.855,1.3,2.363,95.5,95.5,172.2,57.8
2000-09-30,0.5,4.122,6.52,5.75,6.389,1.5,1.489,96.1,96.1,173.6,58.2
2000-12-31,2.5,0.691,6.4,5.5,4.994,0.8,1.161,96.7,96.7,174.6,58.6
2001-03-31,-1.1,2.135,5.31,4.75,3.883,0.4,-0.032,97.1,97.1,176.1,59
2001-06-30,2.4,1.08,3.97,4.25,3.524,-0.1,-0.302,98.7,98.7,177.7,59.5
2001-09-30,-1.7,-0.259,3.07,2.75,2.012,-0.9,-1.514,98.6,98.6,178.1,59.9
2001-12-31,1.1,2.449,1.82,2.25,1.725,-1,-1.996,97.4,97.4,177.4,60.2
2002-03-31,3.5,6.058,1.73,2.25,1.7618,-0.2,-1.853,98.9,98.9,178.5,61
2002-06-30,2.4,2.381,1.75,2.75,1.6901,-0.3,-1.943,99.9,99.9,179.6,61.9
2002-09-30,1.8,3.504,1.75,2.75,1.5467,0,-2.173,100.9,100.9,180.8,62.4
2002-12-31,0.6,2.21,1.24,2.75,1.1898,0,-2.672,101.1,101.1,181.8,63.3
2003-03-31,2.2,2.224,1.25,3,1.108,0.1,-2.773,103.1,103.1,183.9,63.9
2003-06-30,3.5,-0.583,1.22,3.25,0.8455,-0.6,-2.584,102.5,102.5,183.1,64.7
2003-09-30,7,1.496,1.01,2.75,0.9376,-0.7,-1.58,103.1,103.1,185.1,65.5
2003-12-31,4.7,2.789,0.98,2.75,0.9171,-0.5,-1.111,103.2,103.2,185.5,66.5
2004-03-31,2.2,2.914,1,2.25,0.9375,-0.3,-1.252,103.9,103.9,187.1,67.2
2004-06-30,3.1,4.839,1.03,2,1.2612,0.3,-1.178,105.1,105.1,188.9,68.7
2004-09-30,3.8,4.808,1.61,2.25,1.7003,1,-0.935,105,105,189.8,69.3
2004-12-31,4.1,2.905,2.16,2.5,2.2117,1.1,-0.642,105.4,105.4,191.7,69.9
2005-03-31,4.5,1.392,2.63,2.5,2.7664,0.9,-0.226,106.3,106.3,193.1,70.6
2005-06-30,1.9,2.932,3.04,2.5,3.1161,1,-0.422,106.9,106.9,193.7,71.9
2005-09-30,3.6,4.94,3.62,2.75,3.5376,1.6,-0.175,108.4,108.4,198.8,72.7
2005-12-31,2.6,4.004,4.16,3.5,4.46,2,-0.162,107.6,107.6,198.1,74.1
2006-03-31,5.4,3.275,4.59,3.75,4.6023,2.2,0.568,108.6,108.6,199.7,76
2006-06-30,0.9,0.205,4.99,4.25,4.9757,1.6,0.228,109.5,109.5,201.8,79
2006-09-30,0.6,1.117,5.25,4.25,5.0727,1.3,-0.157,109.2,109.2,202.8,81.4
2006-12-31,3.5,1.612,5.24,4.25,5.1031,1.2,0.187,109.4,109.4,203.1,82
2007-03-31,0.9,2.585,5.26,4.25,4.8401,1.3,-0.062,111.1,111.1,205.288,83
2007-06-30,2.3,3.923,5.25,4.5,4.9406,1.7,0.028,111.9,111.9,207.234,85.1
2007-09-30,2.2,1.695,4.94,4.5,3.9112,1.6,0.088,111.9,111.9,208.547,86.5
2007-12-31,2.5,0.455,4.24,4.25,3.2368,1.2,0.222,112,112,211.445,87.1
2008-03-31,-2.3,0.309,2.61,3.5,1.3156,0.7,-0.812,112.6,112.6,213.448,88.1
2008-06-30,2.1,1.449,2,3,1.7306,0.6,-0.739,115.4,115.4,217.463,88.2
2008-09-30,-2.1,3.317,1.81,3,0.9044,1.1,-1.682,115.7,115.7,218.877,88.3
2008-12-31,-8.4,-4.559,0.16,1.5,0.0761,-0.5,-4.175,113.3,113.3,211.398,87.5
2009-03-31,-4.4,-8.747,0.18,0.5,0.2009,-3,-5.575,114,114,212.495,86
2009-06-30,-0.6,-4.297,0.21,0.25,0.1775,-4.3,-6.01,115.1,115.1,214.79,85.2
2009-09-30,1.5,1.808,0.15,0.25,0.1075,-4.2,-5.946,114.7,114.7,215.861,85.9
2009-12-31,4.5,4.75,0.12,0.25,0.0477,-3.3,-5.183,114.8,114.8,217.347,86.7
2010-03-31,1.5,4.909,0.16,0.25,0.1501,-2.3,-5.091,115.6,115.6,217.353,87.4
